Order ID,Order Date,First Name,Last Name,Product & Category,Sub Category,Customer Segment,City,State,Region,Quantity,Unit Price,Sales,Profit,Tax,Total,Payment Mode,Sales Person,Customer Type,Notes
ORD-00013,27-03-2023,Lakshmi,Iyer,  SKEtch KIT - office sUPplieS ,ArT,COnSUMer,Jaipur, Rajasthan,West,9,1060.65,"Rs. 21,096",4381,1460.51,20410.2,Net Banking,"Rs. 19,743",New,delayed shipment
ORD-00014,28-03-2023,Kavya,,  ScanneR maCHiNe - TECHnOLogy ,MaChInES,cONSumeR,Madurai, Tamil Nadu,South,5,5501.14,"Rs. 1,671",1071,3960.82,1591.8,Credit Card,"Rs. 6,874",Regular,  follow up required
ORD-00015,29-03-2023,  Sneha ,  Mohan ,eRgo ChaIR - furNItuRe,CHAIRs,cOnsUMEr,  Pune, Maharashtra ,West,9,644.21,"Rs. 2,728",3114,887.08,2289.4,Debit Card,"Rs. 2,148",Premium,bulk order
ORD-00016,30-03-2023,Suresh,Singh,PrEmIUm nOtEbOOK - OffiCe suPPLIes,pApeR,HoME OfFICe,Madurai, Tamil Nadu,South,7,5605.74,"Rs. 8,486",1151,5650.59,8872,Credit Card,"Rs. 3,433",Premium,missing phone number
ORD-00017,31-03-2023,Nithya,Mohan,BUsINEsS pHoNe - TeCHNOLoGy,pHOnES,  coRpOraTE ,  Madurai, Tamil Nadu ,South,1,6083.01,"Rs. 13,866",647,875.95,11500.8,  Debit Card ,"Rs. 19,699",New, discount approval
ORD-00018,01-04-2023,Anitha,Rajan,Usb hUb - TECHnOLOGy,AcceSSOrieS,coRporATE,Chennai, Tamil Nadu,South,2,4139.15,"Rs. 16,787",1629,1415.59,16082.65,Credit Card,"Rs. 8,420",Returning,missing phone number
ORD-00019,02-04-2023,Meena,Nair,WirelEss mousE - TECHNOloGY,acCessorIeS,homE officE,Jaipur, Rajasthan,West,2,1601.84,"Rs. 20,581",3262,461.33,17706.85,Credit Card,"Rs. 10,669",Returning,  follow up required
ORD-00020,03-04-2023,  Sneha ,Reddy,docuMent cAbineT - OffiCE SuPPLIeS,StoRAge,COnSumER,  Bhubaneswar, Odisha ,East,3,4191.13,"Rs. 7,395",1021,1697.41,7195.25,  Credit Card ,"Rs. 11,328",Regular,  follow up required
ORD-00021,04-04-2023,Divya,Devi,Ring binDeR - offIce SUppLies,bINDERS,cOnsumEr,  Delhi, Delhi ,North,9,4407.04,"Rs. 2,322",3256,5711.52,2389.8,Credit Card,"Rs. 21,302",Premium,urgent delivery
ORD-00022,05-04-2023,Nithya,Das,WoOdEn booKCaSe - FurNiTure,BookCaSEs,  consUMER ,Lucknow, Uttar Pradesh,North,2,7124.04,"Rs. 7,263",2746,2308.19,6228.55,UPI,"Rs. 1,545",Returning,bulk order
ORD-00023,06-04-2023,Priya,Rajan,wiReLEss mOUse - TEchNoloGY,aCcEssOriES,hOMe OFFice,  Coimbatore, Tamil Nadu ,South,2,4101.63,"Rs. 14,149",2695,1107.44,11789.2,Debit Card,"Rs. 12,252",New,delayed shipment
ORD-00025,08-04-2023,Naveen,Sharma,erGo ChAiR - FurNITuRe,  cHAIRs ,hOmE OFFiCe,Ranchi, Jharkhand,East,6,6164.17,"Rs. 24,334",2055,5991.57,23337.3,Net Banking,"Rs. 23,058",Premium,urgent delivery
ORD-00026,09-04-2023,Bala,Kumar,  INdusTRiAl priNTEr - TECHnolOgy ,MACHInes,  coNSuMer ,Coimbatore, Tamil Nadu,South,2,2409.21,"Rs. 7,394",3171,650.49,6820.6,,"Rs. 13,517",Premium, duplicate check
ORD-00027,10-04-2023,Vijay,Nair,  COlOR markEr seT - oFFice SupPlies ,aRt,hOMe ofFice,Mumbai, Maharashtra,West,6,6279.07,"Rs. 20,045",1658,5086.05,20405,Net Banking,"Rs. 6,036",Returning,bulk order
ORD-00028,11-04-2023,Rahul,Varma,fIle organIZEr - OffICe sUPPliEs,BInDERS,hOmE OFfIcE,  Chennai, Tamil Nadu ,South,7,263.62,"Rs. 23,011",606,282.34,23441,UPI,"Rs. 2,619",Premium,
ORD-00029,12-04-2023,Sneha,Das, Ergo ChaIR - fUrnItUrE ,CHairs,  ConSUmEr ,Kolkata, West Bengal,East,1,2966.45,"Rs. 23,311",3720,453.87,20222.35,Net Banking,"Rs. 20,337",Regular,delayed shipment
ORD-00030,13-04-2023,Divya,Das,laser COpIer - tecHNOlOgY,cOpierS,COnsumeR,  Chandigarh, Punjab ,North,5,454.5,"Rs. 12,689",805,327.24,11023.65,UPI,"Rs. 10,784",Premium,
ORD-00031,14-04-2023,suresh,Iyer,curtAiN SeT - FuRNItuRe,FuRnIsHiNgs,COrPORaTE,Pune, Maharashtra,West,8,7029.79,"Rs. 5,422",4919,10122.9,5114.8,UPI,"Rs. 18,106",Premium, duplicate check
ORD-00032,15-04-2023,Santhosh,Mohan,meETInG TabLE - FurNiTUrE,tabLES,hOmE offIce,Mumbai, Maharashtra,West,7,7842.91,"Rs. 14,808",1670,8893.86,13674.2,Net Banking,"Rs. 17,514",New, discount approval
ORD-00033,16-04-2023,,  Singh ,  inDustrIAl PRINtER - tEChNoLogy ,maCHInes,HOmE ofFIcE,Patna, Bihar,East,9,3977.53,"Rs. 19,954",2863,5477.06,18249.6,Cash,"Rs. 20,248",Regular, duplicate check
ORD-00035,18-04-2023,Meena,  Varma ,sTUdy TaBLe - fURNiTUre,TabLeS,hOMe OffIce,  Coimbatore, Tamil Nadu ,South,2,3576.76,"Rs. 4,749",598,1287.63,4839,Debit Card,"Rs. 1,594",Premium, discount approval
ORD-00036,19-04-2023,,Mohan,  SkEtCh KiT - OFficE SuPPLIES ,aRt,CorpOrAtE,Noida, Uttar Pradesh,North,3,3203.73,"Rs. 2,985",3620,1730.01,3079.75,Credit Card,"Rs. 23,570",Premium,bulk order
ORD-00037,20-04-2023,Ramesh,Krishnan,  woODeN BoOkCAsE - furnitURe ,BOOkCASEs,coNsuMeR, Patna - Bihar ,,East,4,6804.97,"Rs. 2,083",1690,4899.58,2142.4,Net Banking,"Rs. 18,835",Returning,bulk order
ORD-00038,21-04-2023,Sneha,Singh,    SCaNNEr MACHInE - TechnOLOgY  ,  machinEs ,coNsumER,Lucknow, Uttar Pradesh,North,5,3193.91,"Rs. 2,882",1675,2730.79,2558.6,Net Banking,"Rs. 9,671",Premium,delayed shipment
ORD-00039,22-04-2023,Naveen,Krishnan,  mEeTiNg tabLE - fURNItURE ,TAbleS,ConSUmeR,Ranchi, Jharkhand,East,10,6009.79,"Rs. 8,295",1313,8113.22,7162.75,Debit Card,"Rs. 7,359",Regular,missing phone number
ORD-00040,23-04-2023,Sneha,Singh,inDUstRIAL PriNTer - TeChnOlOGy,MAcHINeS,hoMe oFfICE,Mumbai, Maharashtra,West,3,6282.99,"Rs. 6,373",4501,2714.25,6542.35,Net Banking,"Rs. 15,334",Returning,
ORD-00041,24-04-2023,Bala,Bose,dOCUment cABinet - officE SupPLiEs,STorage,coNSuMER,  Kolkata, West Bengal ,East,8,6605.46,"Rs. 24,420",1368,7133.9,19952,Net Banking,"Rs. 22,488",Premium,bulk order
ORD-00043,26-04-2023,Lakshmi,  Reddy ,laser copIEr - TEchnoLogY,cOpierS,COnsumer,Jaipur, Rajasthan,West,1,3865.97,"Rs. 11,245",2057,626.29,11008.75,  Debit Card ,"Rs. 15,046",Returning,urgent delivery
ORD-00044,27-04-2023,Ajay,Singh,  DisplAY Rack - fUrnItuRe ,  BOoKcAsES ,CorpOrATe,Kolkata, West Bengal,East,5,7098.14,"Rs. 5,948",4858,5430.08,5427.8,Credit Card,"Rs. 6,181",Premium,address pending
ORD-00045,28-04-2023,Santhosh,Reddy,FIle ORGAnizeR - OFfiCE SUPpLiES,BINdERs,HoME OfFICE,Bhubaneswar, Odisha,East,1,7521.73,"Rs. 9,957",1505,1353.91,8899.45,Debit Card,"Rs. 15,828",New,address pending
ORD-00046,29-04-2023,Rahul,  Varma ,EXecuTivE DEsK - FUrnITURE,TablEs,  HOMe OffICe ,Pune, Maharashtra,West,2,198.72,"Rs. 1,508",165,57.23,1917,Credit Card,"Rs. 15,636",Returning, duplicate check
 ORD-00047 ,30-04-2023,Arun,  Mohan ,oFfIce CHaiR - FuRNiTuRe,  chAirS ,CONSuMEr,Bengaluru, Karnataka,South,4,4910.37,"Rs. 5,812",3469,3005.15,5318.2,  UPI ,"Rs. 19,032",Returning,bulk order
ORD-00048,01-05-2023,Bala,Kumar,PReMIum NOtEBOok - OfFiCE sUpPLiES,papeR,  hoMe office ,Chandigarh, Punjab,North,4,2142.07,"Rs. 16,422",3980,1310.95,15095.8,Cash,"Rs. 3,907",Regular, discount approval
ORD-00049,02-05-2023,Meena,Rajan,sTudY TabLe - fUrnIturE,tAbLEs,homE OfFIce,Delhi, Delhi,North,2,2420.15,"Rs. 22,383",521,653.44,18314.4,Net Banking,"Rs. 19,548",Returning,missing phone number
ORD-00050,03-05-2023,  Meena ,Sharma,woodeN boOkCaSe - fUrNITuRe,bOOkCaSeS,CoRPORate,Lucknow, Uttar Pradesh,North,4,6487.23,"Rs. 21,564",961,3503.1,19781.6,Cash,"Rs. 14,680",Returning,
ORD-00051,04-05-2023,Rahul,Singh,  oFFiCe cHAir - FURNITUre ,CHaiRS,cOrPoraTE,Jaipur, Rajasthan,West,7,1524.15,"Rs. 18,109",542,1632.36,16651.1,Debit Card,"Rs. 16,127",Returning,urgent delivery
ORD-00052,05-05-2023,Ajay,Nair,rIng bINDer - ofFiCe sUPplIeS,binDers,hoMe OFfIcE,Ahmedabad, Gujarat,West,10,5712.63,"Rs. 10,664",3308,8226.19,11026,Credit Card,"Rs. 21,188",New,  follow up required
ORD-00053,06-05-2023,Sneha,  KUMAR ,sKetch KIT - OfFiCe SUPPLieS,ArT,CORPOrATe,Kolkata, West Bengal,East,1,7611.07,"Rs. 21,592",3417,1164.49,20875.4,Credit Card,"Rs. 3,525",Regular,missing phone number
ORD-00054,07-05-2023,Suresh,Devi,  offICe chaIr - furNItURE ,cHAiRs,COrPORAtE,  Chennai, Tamil Nadu ,South,6,2451.52,"Rs. 2,426",1057,2515.26,2667,Net Banking,"Rs. 5,776",Regular,
ORD-00056,09-05-2023,Vijay,Nair,  taBlE lAmP - fURNITure ,  furNIshiNGS ,CorPOrAte,Chandigarh, Punjab,North,2,246.48,"Rs. 18,298",4992,66.55,15077.4,  Net Banking ,"Rs. 9,914",Premium, discount approval
ORD-00057,10-05-2023,Harini,  Das ,MeETINg TAbLE - FuRNitURE,TaBLES,Home oFFiCE,Delhi, Delhi,North,6,3608.07,"Rs. 21,348",2394,3896.72,19454.2,UPI,"Rs. 16,081",Returning,bulk order
ORD-00058,11-05-2023,Bala,Varma,   DiGITAL COPiEr - TECHnolOGy  ,  COpIeRs ,HoMe oFFIce,  Pune, Maharashtra ,West,4,6724.74,"Rs. 5,323",4171,4841.81,4878.7,Net Banking,"Rs. 15,219",Returning, discount approval
ORD-00059,12-05-2023,Meena,Varma,USB huB - TechnOLoGY,acCesSorIES,ConsUmEr,Ahmedabad, Gujarat,West,1,7219.95,"Rs. 11,723",3913,974.69,9782.4,Net Banking,"Rs. 24,694",Returning,
ORD-00060,13-05-2023,Karthik,Iyer,PremiuM noteboOK - oFfIce SuPPlIes,PAPer,  ConSUmer ,Chennai, Tamil Nadu,South,2,1519.01,"Rs. 23,331",163,437.48,20053.35,UPI,"Rs. 9,010",New,urgent delivery
ORD-00062,15-05-2023,nithya,Kumar,a4 COpY PAPer - OFfIcE SUpplIEs,PAPer,hOMe Office,  Hyderabad, Telangana ,South,2,6864.85,"Rs. 15,461",59,1853.51,13188.85,Net Banking,"Rs. 4,621",New, duplicate check
ORD-00063,16-05-2023,Ramesh,Rajan,GaLAxY smArTPhone - TEchNOLoGY,PHonES,hOME ofFice,Ranchi, Jharkhand,East,9,2885.61,"Rs. 13,232",2934,3973.49,12692.4,Credit Card,"Rs. 8,587",New,
ORD-00064,17-05-2023,Pooja,Mohan,WiRELEsS mouSE - tEchnOlogy,AcCeSSoriEs,HOME oFficE,Lucknow, Uttar Pradesh,North,6,5233.82,"Rs. 8,478",3398,4804.65,7889.2,Credit Card,"Rs. 23,951",Regular,missing phone number
ORD-00065,18-05-2023,Suresh,Kumar,PReMiUM noTebOok - OFFiCE suPPLiEs,pApeR,  cORporate ,Kochi, Kerala,South,9,3162.29,"Rs. 2,087",2782,4098.33,2353.3,Net Banking,"Rs. 15,908",Regular,bulk order
ORD-00066,19-05-2023,  Sneha ,Nair,mEeTinG TAbLe - fUrNITurE,TAbleS,cONsumer,Ranchi, Jharkhand,East,5,3380.8,"Rs. 14,953",4765,2738.45,12107.4,UPI,"Rs. 24,961",Premium,
ORD-00067,20-05-2023,  Santhosh ,  Singh ,ergO chaIR - furNItuRE,chaiRS,HoMe oFFIcE,Hyderabad, Telangana,South,8,1057.93,"Rs. 10,536",1906,1447.25,8566.8,cash,"Rs. 17,014",Premium,missing phone number
ORD-00068,21-05-2023,,Varma,diGITaL coPieR - TeCHnoLOGy,cOPieRs,cOnsuMEr,Pune, Maharashtra,West,9,6793,"Rs. 24,746",3384,9353.96,22643.4,Debit Card,"Rs. 10,855",Premium,
ORD-00069,22-05-2023,Naveen,Reddy,  A4 CoPy Paper - OfFIce sUPPliES ,paPeR,consumEr,Patna, Bihar,East,1,7618.19,"Rs. 20,383",2340,1234.15,20808,Cash,"Rs. 14,586",Regular,delayed shipment
ORD-00070,23-05-2023,Anitha,Nair,rIng bINDER - offIce suPPLies,BINDErS,cOrPORate,Kochi, Kerala,South,2,1447.62,"Rs. 1,447",3511,521.14,1345.6,Cash,"Rs. 2,601",Returning,
ORD-00071,24-05-2023,Suresh,Sharma,WiRelEsS mOUse - TeCHnOlOGy,aCCeSsorieS,HoMe offIce,  Jaipur, Rajasthan ,West,1,1667.39,"Rs. 18,730",4423,270.12,16048.5,UPI,"Rs. 20,228",Premium,
ORD-00072,25-05-2023,Priya,  Das ,viSiTOr chAir - fUrNiTuRe,CHaIRS,  ConsuMeR ,  Patna, Bihar ,East,1,4853.41,"Rs. 18,698",802,698.89,18923,Credit Card,"Rs. 6,209",Returning,
ORD-00073,26-05-2023,  Naveen ,Varma,DISPLaY RaCK - FUrNItuRE,bOOKcASEs,cORPoRaTe,Chennai, Tamil Nadu,South,8,1000.31,"Rs. 1,669",3366,1368.42,1844,  Credit Card ,"Rs. 12,639",New,urgent delivery
ORD-00074,27-05-2023,Naveen,Krishnan,StOragE SheLF - fuRNiturE,BOOKcaSEs,CoRporATE, Chennai - Tamil Nadu ,,South,2,934.13,"Rs. 18,286",2576,336.29,18704,,"Rs. 15,268",Regular,delayed shipment
ORD-00075,28-05-2023,Karthik,Kumar,  LasER cOpiER - tEcHNOloGy ,CopieRs,HoME OfFIce,Delhi, Delhi,North,8,1602.01,"Rs. 2,867",4821,2076.2,2934,Debit Card,"Rs. 18,064",New, duplicate check
ORD-00076,29-05-2023,Divya,  Rajan ,  buSINeSs PHone - teChNolOGY ,PhOnEs,CORPORATe,Mumbai, Maharashtra,West,5,3281.14,"Rs. 19,211",3122,2805.37,17698.9,Debit Card,"Rs. 8,116",Regular,
ORD-00077,30-05-2023,Bala,Das,LASER CopIEr - tEcHNolOgY,COpiERS,cOnSumeR,Madurai, Tamil Nadu,South,1,6640.22,"Rs. 6,458",852,1015.95,5577.3,Net Banking,"Rs. 3,750",Premium,bulk order
ORD-00078,31-05-2023,Suresh,Reddy,WoODen BOoKcaSE - FURNiturE,BooKCaSES,COrporAtE,Bhubaneswar, Odisha,East,10,5591.03,"Rs. 10,669",1910,7547.89,8756.2,Credit Card,"Rs. 4,415",Premium,
ORD-00079,01-06-2023,Meena,Reddy,DIGiTaL CoPiEr - TecHNoLOGy,  CoPIers ,Home OffIcE,Kolkata, West Bengal,East,2,450.33,"Rs. 8,463",3062,162.12,7384.55,UPI,"Rs. 22,632",Regular,
ORD-00080,02-06-2023,Sneha,Reddy,  LAsER copIer - TEchNoLogy ,coPIErs,  conSumEr ,Kolkata, West Bengal,East,5,1252.01,"Rs. 16,915",1712,845.11,16238.25,  Cash ,"Rs. 23,560",Returning,
ORD-00081,03-06-2023,Sneha,Gupta,Scanner MAchine - TEcHnoloGy,maChIneS,CorPORAtE,Chennai, Tamil Nadu,South,2,6157.03,"Rs. 9,727",2237,2216.53,9887,,"Rs. 5,861",Premium,missing phone number
ORD-00084,06-06-2023,Anitha,Krishnan,IPHONe dEVice - TEcHnolOgY,PhOnEs,COnsUmeR,Kolkata, West Bengal,East,1,6168.51,"Rs. 9,586",865,888.27,8360.1,Net Banking,"Rs. 12,815",New,
ORD-00085,07-06-2023,  Lakshmi ,  Patel ,StorAgE shelf - FuRNiTure,BookCASES,hOMe ofFIcE,Pune, Maharashtra,West,6,6193.22,"Rs. 7,352",4356,5016.51,7038.8,Credit Card,"Rs. 14,888",Regular,
ORD-00086,08-06-2023,Lakshmi,,dispLay RAck - fURnIturE,bookCAsES,hOMe OFFicE,Ranchi, Jharkhand,East,1,774,"Rs. 7,772",4294,104.49,7989,Credit Card,"Rs. 10,917",New, discount approval
ORD-00087,09-06-2023,Arun,Rajan, TabLE lamp - FuRNitURE ,FurNIShINgS,corPoRATE,Ahmedabad, Gujarat,West,5,7293.45,"Rs. 20,104",2075,4923.08,18134.6,UPI,"Rs. 11,003",Regular,address pending
ORD-00088,10-06-2023,Lakshmi,Iyer,  lAseR cOpIEr - tECHnOLogY ,copiErs,  HoMe OFFiCe ,Bengaluru, Karnataka,South,5,1036.6,"Rs. 8,595",1607,932.94,9056,Net Banking,"Rs. 1,636",New,missing phone number
ORD-00089,11-06-2023,Ajay,Krishnan,  FiLe OrgaNiZer - OFFICe SUppliEs ,BINders,  COnSuMEr ,Ranchi, Jharkhand,East,10,2153.53,"Rs. 4,726",4311,2907.27,4854.7,UPI,"Rs. 22,080",Returning,bulk order
ORD-00090,12-06-2023,Santhosh,Kumar,  STOrAGe boX - officE suPplIes ,,HoME OfficE,Chandigarh, Punjab,North,5,6812.19,"Rs. 3,213",3395,4904.78,3537,Credit Card,"Rs. 21,796",Returning,delayed shipment
ORD-00091,13-06-2023,Anitha,Mohan,ViSitOR ChAIR - furNiTuRe,  ChaiRs ,cOrpORaTE,Patna, Bihar,East,4,6406.84,"Rs. 9,383",3051,3920.99,9056.85,Cash,"Rs. 19,337",Returning,
ORD-00092,14-06-2023,Priya,Sharma,  KeYbOard CombO - tEchNOLOGy ,AccEssORies,  corPoRAtE ,Mumbai, Maharashtra,West,5,1348.31,"Rs. 6,900",4716,910.11,5915,UPI,"Rs. 7,718",New,urgent delivery
ORD-00093,15-06-2023,lakshmi,Iyer,  digItAl COpiER - tEChnoLOgY ,COPiErS,home oFfiCe,  Pune, Maharashtra ,West,2,1066.55,"Rs. 6,329",1414,307.17,5249.2,Credit Card,"Rs. 4,413",Regular,  follow up required
 ORD-00094 ,16-06-2023,Divya,Krishnan,KeYBoArD cOmbo - tecHnOLogY,accESsORIes,corPoRATe,Patna, Bihar,East,8,831.88,"Rs. 6,094",3441,1018.22,6357,Net Banking,"Rs. 4,829",Regular,bulk order
ORD-00095,17-06-2023,  Meena ,Das,A4 cOPY PaPER - OfficE sUpPLIES,pAper,cORPoRate,    Jaipur, Rajasthan  ,West,2,7657.41,"Rs. 17,912",4519,2618.83,15270.2,Net Banking,"Rs. 5,693",New,address pending
ORD-00096,18-06-2023,Meena,Devi,DiGital COPieR - TeChNologY,copierS,cOrpoRAte,Bengaluru, Karnataka,South,1,1017.29,"Rs. 17,152",2660,164.8,14616.2,Debit Card,"Rs. 23,190",New,
ORD-00097,19-06-2023,Ramesh,Singh,  COLOr marKEr seT - OfFiCE suPPlIeS ,ARt,cONsuMEr,Bengaluru, Karnataka,South,1,4155,"Rs. 14,146",3384,747.9,12311.1,Credit Card,"Rs. 9,937",New,delayed shipment
ORD-00098,20-06-2023,Nithya,Singh,  DIGital COpiEr - tecHNoloGY ,coPIeRs,ConSUMEr,Mumbai, Maharashtra,West,7,1932.69,"Rs. 16,406",3157,2069.91,15265.4,UPI,"Rs. 6,008",Premium,address pending
ORD-00099,21-06-2023,Ramesh,Varma,exeCuTIvE DESk - FUrniTuRe,taBLEs,CoRpoRatE,Noida, Uttar Pradesh,North,9,3635.67,"Rs. 8,621",2708,4417.34,7937.9,Credit Card,"Rs. 11,508",Regular,
ORD-00100,22-06-2023,Divya,  Varma ,PreMIUm NOtebOoK - offiCE SupplIEs,PaPer,CORPoRate,Hyderabad, Telangana,South,9,1829.63,"Rs. 9,733",1608,2667.6,8016.4,Cash,"Rs. 18,687",Returning,
ORD-00101,23-06-2023,Rahul,Varma,GaLAxy sMARTPhOnE - TeChNOLoGY,PHonES,  CoNsumeR ,Coimbatore, Tamil Nadu,South,10,,"Rs. 6,357",4988,526.28,6760,UPI,"Rs. 23,902",New,
ORD-00104,26-06-2023,Harini,Devi,  wIrELEsS MOUsE - teCHNOLOGy ,aCCesSoRIeS,  coNSumER ,  Delhi, Delhi ,North,1,5764.26,"Rs. 9,628",4391,933.81,7917.4,Debit Card,"Rs. 2,421",Premium,delayed shipment
ORD-00105,27-06-2023,Lakshmi,Devi,sKetCH kit - OffICE sUpPliES,arT,HomE OffiCe,Patna, Bihar,East,6,4438.17,"Rs. 6,130",521,4553.56,6272,UPI,"Rs. 5,220",Premium,delayed shipment
ORD-00106,28-06-2023,  Ajay ,DEVI,fIle oRGaNiZeR - office SupPLIeS,bindERs,conSumER,Mumbai, Maharashtra,West,7,7752.16,"Rs. 21,939",2127,7814.18,17772.2,Debit Card,"Rs. 8,030",Returning,
ORD-00107,29-06-2023,  Divya ,Singh,dIgItaL copIEr - tEchnoLogy,COpIeRS,CoRPORAte,Delhi, Delhi,North,6,2295.28,"Rs. 23,842",1920,1983.12,24260,Credit Card,"Rs. 5,103",New, discount approval
ORD-00108,30-06-2023,Sneha,Gupta,STorAge BOx - offiCe SupPLIes,StORage,CoNsuMER,Delhi, Delhi,North,7,3012.65,"Rs. 21,114",3605,3795.94,18121.9,UPI,"Rs. 11,649",Returning,address pending
ORD-00109,01-07-2023,Anitha,  Singh ,BUSiNEss phONE - technOLOgy,  pHOnEs ,hOMe OffiCe,Chennai, Tamil Nadu,South,3,4091.07,"Rs. 11,269",3330,1988.26,9919.65,Cash,"Rs. 12,879",Regular, duplicate check
ORD-00110,02-07-2023,Meena,Mohan,  coloR marKER SET - OFFICe SuPpliES ,Art,COnsuMer,Pune, Maharashtra,West,3,6526.32,"Rs. 17,737",3845,2995.58,17347.15,UPI,"Rs. 22,726",Premium,urgent delivery
ORD-00112,04-07-2023,Naveen,Reddy,KEYBoArD COMbo - tEchnOlogY,acCessOrIeS,cORpoRaTE,Pune, Maharashtra,West,6,6686.6,"Rs. 8,644",997,6499.38,7514.4,Net Banking,"Rs. 7,452",Regular,urgent delivery
ORD-00114,06-07-2023,  Suresh ,Patel,stUdy tAbLe - fuRNITURE,TablEs,homE OffICe,Noida, Uttar Pradesh,North,9,4665.58,"Rs. 10,333",4075,7558.24,10131.35,Cash,"Rs. 22,322",Regular,bulk order
ORD-00115,07-07-2023,Ajay,Varma,  flOoR Mat - furniTURE ,fUrnIshiNGs,COnSuMEr,Noida, Uttar Pradesh,North,1,6759.58,"Rs. 21,582",1579,1034.22,21623,UPI,"Rs. 22,626",Returning,urgent delivery
ORD-00116,08-07-2023,Harini,, DigITAL copIER - tECHnoLogY ,cOPIERS,hOME OffICE,Pune, Maharashtra,West,9,938.49,"Rs. 22,722",2019,1292.3,22946,Net Banking,"Rs. 20,768",Regular,
ORD-00117,09-07-2023,Santhosh,Mohan,A4 coPy PAper - OfFIcE sUppliEs,PAPeR,CoRPoRATe,Patna, Bihar,East,5,2733.56,"Rs. 24,678",615,2337.19,21227.3,UPI,"Rs. 13,797",New, discount approval
ORD-00118,10-07-2023,Ramesh,Iyer,  InduStRIAL prInTEr - tEChNOLOgy ,mAcHiNeS,CoRPorATE,Pune, Maharashtra,West,1,3187.62,"Rs. 12,247",1619,430.33,12590,Cash,"Rs. 20,917",New,
ORD-00119,11-07-2023,Ajay,,VISITOr Chair - FuRniTUrE,CHaIrs,cOnsumer,Mumbai, Maharashtra,West,5,4886.98,"Rs. 17,006",3924,3298.71,14640.1,Net Banking,"Rs. 14,335",Returning,bulk order
ORD-00120,12-07-2023,Rahul,Rajan,BuSINess PHonE - teCHNology,pHoNES,CoNsuMER,Bhubaneswar, Odisha,East,2,4315.57,"Rs. 5,997",109,1398.25,6394,  Credit Card ,"Rs. 12,899",Regular,
ORD-00121,13-07-2023,  Divya ,  Kumar ,FloOR Mat - FurNiTuRe,furnIshiNGS,COrPorATE,Jaipur, Rajasthan,West,6,1785.58,"Rs. 5,608",2423,1542.74,4770.4,Net Banking,"Rs. 21,609",Returning,delayed shipment
ORD-00122,14-07-2023,Lakshmi,Gupta,A4 coPy PAPER - office SUpPlIeS,  paper ,CorpoRATe,Kochi, Kerala,South,1,4881.63,"Rs. 3,778",534,790.82,3449.3,  Debit Card ,"Rs. 2,398",Premium,bulk order
